Weight, FP, FN, RF
0.00|0.00|0.00|1.00, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.00|0.26|0.74, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.00|0.50|0.50, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.00|0.74|0.26, 0.48275862069, 0.48275862069, 0.48275862069
0.00|0.00|1.00|0.00, 0.51724137931, 0.51724137931, 0.51724137931
0.00|0.25|0.75|0.00, 0.551724137931, 0.551724137931, 0.551724137931
0.00|0.26|0.00|0.74, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.42|0.29|0.29, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.49|0.51|0.00, 0.51724137931, 0.51724137931, 0.51724137931
0.00|0.49|0.00|0.51, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.73|0.27|0.00, 0.413793103448, 0.413793103448, 0.413793103448
0.00|0.74|0.00|0.26, 0.586206896552, 0.586206896552, 0.586206896552
0.00|1.00|0.00|0.00, 0.586206896552, 0.586206896552, 0.586206896552
0.18|0.18|0.17|0.47, 0.413793103448, 0.413793103448, 0.413793103448
0.18|0.18|0.47|0.17, 0.51724137931, 0.51724137931, 0.51724137931
0.25|0.48|0.00|0.27, 0.586206896552, 0.586206896552, 0.586206896552
0.25|0.48|0.27|0.00, 0.413793103448, 0.413793103448, 0.413793103448
0.25|0.00|0.00|0.75, 0.413793103448, 0.413793103448, 0.413793103448
0.26|0.74|0.00|0.00, 0.586206896552, 0.586206896552, 0.586206896552
0.26|0.00|0.74|0.00, 0.48275862069, 0.48275862069, 0.48275862069
0.40|0.00|0.30|0.30, 0.413793103448, 0.413793103448, 0.413793103448
0.48|0.24|0.00|0.27, 0.48275862069, 0.48275862069, 0.48275862069
0.49|0.00|0.00|0.51, 0.413793103448, 0.413793103448, 0.413793103448
0.49|0.25|0.27|0.00, 0.413793103448, 0.413793103448, 0.413793103448
0.49|0.00|0.51|0.00, 0.51724137931, 0.51724137931, 0.51724137931
0.50|0.50|0.00|0.00, 0.586206896552, 0.586206896552, 0.586206896552
0.73|0.00|0.00|0.27, 0.48275862069, 0.48275862069, 0.48275862069
0.74|0.00|0.26|0.00, 0.413793103448, 0.413793103448, 0.413793103448
0.74|0.26|0.00|0.00, 0.48275862069, 0.48275862069, 0.48275862069
1.00|0.00|0.00|0.00, 0.48275862069, 0.48275862069, 0.48275862069
