Weight, FP, FN, RF
0.00|0.00|0.00|1.00, 0.711538461538, 0.711538461538, 0.711538461538
0.00|0.00|0.26|0.74, 0.75, 0.75, 0.75
0.00|0.00|0.50|0.50, 0.75, 0.75, 0.75
0.00|0.00|0.74|0.26, 0.75, 0.75, 0.75
0.00|0.00|1.00|0.00, 0.75, 0.75, 0.75
0.00|0.25|0.75|0.00, 0.769230769231, 0.769230769231, 0.769230769231
0.00|0.26|0.00|0.74, 0.711538461538, 0.711538461538, 0.711538461538
0.00|0.42|0.29|0.29, 0.711538461538, 0.711538461538, 0.711538461538
0.00|0.49|0.51|0.00, 0.730769230769, 0.730769230769, 0.730769230769
0.00|0.49|0.00|0.51, 0.711538461538, 0.711538461538, 0.711538461538
0.00|0.73|0.27|0.00, 0.730769230769, 0.730769230769, 0.730769230769
0.00|0.74|0.00|0.26, 0.711538461538, 0.711538461538, 0.711538461538
0.00|1.00|0.00|0.00, 0.711538461538, 0.711538461538, 0.711538461538
0.18|0.18|0.17|0.47, 0.788461538462, 0.788461538462, 0.788461538462
0.18|0.18|0.47|0.17, 0.769230769231, 0.769230769231, 0.769230769231
0.25|0.48|0.00|0.27, 0.711538461538, 0.711538461538, 0.711538461538
0.25|0.48|0.27|0.00, 0.730769230769, 0.730769230769, 0.730769230769
0.25|0.00|0.00|0.75, 0.711538461538, 0.711538461538, 0.711538461538
0.26|0.74|0.00|0.00, 0.711538461538, 0.711538461538, 0.711538461538
0.26|0.00|0.74|0.00, 0.75, 0.75, 0.75
0.40|0.00|0.30|0.30, 0.75, 0.75, 0.75
0.48|0.24|0.00|0.27, 0.730769230769, 0.730769230769, 0.730769230769
0.49|0.00|0.00|0.51, 0.711538461538, 0.711538461538, 0.711538461538
0.49|0.25|0.27|0.00, 0.730769230769, 0.730769230769, 0.730769230769
0.49|0.00|0.51|0.00, 0.730769230769, 0.730769230769, 0.730769230769
0.50|0.50|0.00|0.00, 0.711538461538, 0.711538461538, 0.711538461538
0.73|0.00|0.00|0.27, 0.730769230769, 0.730769230769, 0.730769230769
0.74|0.00|0.26|0.00, 0.75, 0.75, 0.75
0.74|0.26|0.00|0.00, 0.730769230769, 0.730769230769, 0.730769230769
1.00|0.00|0.00|0.00, 0.730769230769, 0.730769230769, 0.730769230769
